Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
(2009 MG1),2079-2079,1,3.1E-10,17.47,24.1,0.052,-8.97,-8.97
(2010 XU),2081-2088,2,3E-09,6.25,25.4,0.029,-8.98,-9.14
(2014 HM198),2075-2104,2,1.3E-08,10.52,27.3,0.012,-9.08,-9.09
(2020 DR4),2039-2064,4,1.2E-07,6.83,29.7,0.004,-9.08,-9.39
(2007 VF189),2072-2077,2,3.6E-08,11.47,28.4,0.007,-9.12,-9.19
(2015 HZ182),2035-2101,10,3.9E-09,14.85,27,0.013,-9.12,-9.37
(2014 HN2),2112-2112,1,9.8E-09,2.59,26.3,0.018,-9.16,-9.16
(2016 WF7),2102-2115,4,1E-07,6.54,28.7,0.006,-9.18,-9.27
(2019 SU1),2116-2119,2,8.5E-08,5.09,28.4,0.007,-9.18,-9.23
(2008 JL24),2091-2091,1,2.3E-07,2.7,29.6,0.004,-9.22,-9.22
(2018 EZ2),2118-2118,1,7.6E-09,9.38,26.6,0.017,-9.23,-9.23
(2019 SU2),2095-2096,2,2.5E-07,11.1,30.1,0.003,-9.23,-9.36
(2013 VD17),2075-2075,1,6.1E-09,11.99,27.1,0.013,-9.27,-9.27
(2020 RO2),2040-2040,1,2.8E-09,15.62,27.6,0.01,-9.27,-9.27
(2016 NC56),2114-2114,1,8.4E-09,14.5,27.1,0.013,-9.28,-9.28
(2018 DO3),2046-2115,18,3.4E-08,17.84,29.1,0.005,-9.3,-10.09
(2017 YE7),2022-2022,1,8E-10,20.33,28.5,0.007,-9.32,-9.32
(2020 OX4),2088-2088,1,2.5E-10,17.11,24.6,0.042,-9.36,-9.36
(2014 AG51),2067-2105,4,7.6E-08,14.81,30,0.003,-9.4,-9.43
(2020 SM2),2111-2111,1,6.9E-08,4.17,28.7,0.006,-9.4,-9.4
(2005 WN3),2024-2024,1,4E-09,18.17,29.9,0.004,-9.45,-9.45
(2017 UJ2),2074-2097,5,5.1E-07,5.23,30.9,0.002,-9.45,-9.81
(2020 PT2),2070-2070,1,1.6E-09,8.24,26.2,0.02,-9.48,-9.48
(2009 SD15),2081-2105,2,2.7E-09,14.07,26.9,0.014,-9.49,-9.52
(2019 GC6),2113-2113,1,5E-09,5.28,26.5,0.017,-9.49,-9.49
(2016 FF14),2117-2117,1,7.3E-09,9.83,27.1,0.013,-9.49,-9.49
(2017 WW1),2055-2055,1,4E-08,12.44,29.7,0.004,-9.5,-9.5
(2019 VC),2117-2117,1,6.7E-08,3.81,28.8,0.006,-9.53,-9.53
(2009 DM40),2091-2091,1,2.9E-09,8.96,26.6,0.016,-9.55,-9.55
(2010 SK13),2084-2084,1,2.5E-09,18.03,27.3,0.012,-9.62,-9.62
(2011 SC108),2111-2111,1,4.9E-09,22.3,27.9,0.009,-9.64,-9.64
(2014 WZ365),2047-2047,1,2.8E-10,10.86,25.7,0.025,-9.66,-9.66
(2019 YS),2089-2116,12,7.2E-07,6.25,31.5,0.002,-9.67,-10.33
(2019 SK9),2099-2099,1,2.2E-09,15.89,27.1,0.013,-9.76,-9.76
(2019 XR),2053-2053,1,4.5E-09,8.11,28.1,0.008,-9.77,-9.77
(2017 WE30),2038-2094,8,1E-07,17.56,31.9,0.001,-9.85,-10.11
