Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
(2008 XU2),2039-2039,1,4.8E-07,9.93,25.6,0.026,-6.25,-6.25
(2019 ED1),2070-2103,15,1.4E-05,9.42,27.5,0.011,-6.25,-6.8
(2011 BU59),2089-2118,10,3.6E-06,11.33,26.1,0.02,-6.26,-6.51
(2007 US51),2082-2114,8,8.8E-06,15.26,27.2,0.012,-6.26,-6.38
(2008 EA9),2068-2106,6,2.3E-05,1.24,27.7,0.01,-6.26,-6.67
(2008 KN11),2046-2046,1,3.6E-08,13.83,23.3,0.075,-6.26,-6.26
(2016 JA6),2081-2117,7,4.2E-06,11.34,26.4,0.018,-6.26,-6.48
(2017 TW5),2072-2115,5,4.9E-06,15.26,27.1,0.013,-6.26,-6.33
(2020 HF),2067-2117,9,1.6E-06,7.78,25.2,0.031,-6.26,-6.75
(2006 DN),2056-2056,1,3.6E-07,4,24.5,0.043,-6.27,-6.27
(2003 WT153),2044-2108,57,2.7E-05,4.33,28.1,0.008,-6.28,-6.92
(2019 FE),2095-2118,2,4E-07,9.93,24.2,0.05,-6.28,-6.45
(2015 UR67),2091-2091,1,3.2E-06,11.63,26.3,0.019,-6.28,-6.28
(2018 FL29),2026-2116,266,8.5E-05,11.93,30.1,0.003,-6.28,-6.63
(2018 LB),2092-2116,11,3.6E-06,7.43,26,0.022,-6.28,-6.8
(2017 SU17),2069-2117,34,2.8E-05,8.32,28,0.008,-6.29,-6.83
(2008 LD),2049-2116,56,9.3E-05,4.13,28.9,0.006,-6.29,-7.1
(2016 EP84),2092-2106,3,1.9E-05,2.33,27.4,0.011,-6.29,-6.35
(2019 NP5),2106-2116,7,2.6E-05,5.07,27.6,0.01,-6.29,-6.67
(2020 CQ),2051-2112,5,4E-06,15.25,27,0.013,-6.29,-6.5
(2004 BN41),2086-2116,3,2.5E-06,7.76,25.8,0.024,-6.3,-6.59
(2008 VL),2021-2116,632,1.2E-05,9.55,28,0.009,-6.3,-7.33
(2020 UK2),2089-2109,6,9.3E-06,7.61,27,0.013,-6.3,-6.7
(2010 TD),2072-2091,5,2.7E-06,18.86,26.9,0.014,-6.31,-6.66
(2020 QF1),2102-2102,1,4E-05,12.42,28.6,0.006,-6.31,-6.31
(2018 YW2),2069-2069,1,2.2E-07,7.45,24,0.053,-6.32,-6.32
(2015 XR169),2050-2119,146,5.2E-05,9.52,28.8,0.006,-6.33,-7.33
(2020 UH),2098-2119,3,4.7E-07,11.21,24.4,0.045,-6.33,-6.52
(2020 HN),2055-2119,19,3.2E-05,3.44,28.6,0.006,-6.34,-6.55
(2011 UC64),2093-2115,28,1.7E-05,14.05,27.9,0.009,-6.35,-7.01
(2018 VC),2109-2115,5,5.4E-06,4.96,26.3,0.019,-6.35,-6.45
(2018 DZ3),2068-2113,3,4.1E-06,10.03,26.4,0.018,-6.35,-6.43
(2017 WE29),2024-2117,115,1E-06,10.68,25.9,0.022,-6.35,-7.22
(2018 XR4),2062-2114,5,3.6E-06,11.81,26.8,0.015,-6.35,-6.55
(2008 VM),2020-2031,2,3.6E-05,10.26,30.2,0.003,-6.36,-6.36
(2013 AB65),2094-2116,11,6.1E-06,24.42,27.6,0.01,-6.36,-6.52
(2015 XX378),2118-2118,1,4.9E-07,15.7,24.7,0.038,-6.36,-6.36
(2016 TQ2),2110-2115,7,3.1E-06,15.21,26.4,0.017,-6.36,-6.68
(2018 CA15),2028-2115,23,4.7E-07,8.37,26,0.022,-6.36,-6.76
(2017 TA5),2081-2117,17,9.4E-06,10.73,27.3,0.012,-6.36,-6.9
(1998 DK36),2027-2100,17,5.6E-07,6.19,25,0.034,-6.37,-6.4
(2004 XB45),2035-2066,2,4.1E-07,17.02,26.3,0.019,-6.37,-6.37
(2001 HJ31),2116-2116,1,1.9E-07,11.49,23.6,0.063,-6.37,-6.37
(2010 CA),2022-2022,1,7.4E-09,14.7,24.4,0.044,-6.37,-6.37
(2010 LJ68),2025-2106,17,1.5E-08,9.67,23.1,0.082,-6.37,-6.5
(2013 AG69),2119-2119,2,7.2E-06,17.35,27.3,0.012,-6.37,-6.51
(2015 HQ182),2020-2114,188,1.6E-07,6.61,25,0.034,-6.37,-6.62
(2020 BH),2104-2120,5,4.6E-05,3.08,28.3,0.008,-6.37,-6.54
(2019 AB),2073-2113,5,3.3E-06,9.92,26.2,0.019,-6.37,-6.44
(2020 UJ),2043-2043,1,6.1E-08,14.8,24.1,0.051,-6.37,-6.37
(2011 QF48),2067-2067,2,3.1E-07,19.92,25.3,0.03,-6.38,-6.52
(2008 UY91),2022-2116,45,6E-08,15.12,24.9,0.036,-6.39,-6.71
(2018 VT5),2085-2117,39,3.6E-05,9.55,28.4,0.007,-6.39,-6.71
(2010 UC7),2112-2112,7,5.1E-07,13.28,24.7,0.038,-6.39,-6.95
(2020 FD),2027-2107,23,2.6E-06,15.41,27.6,0.01,-6.39,-6.95
(2009 FP32),2073-2117,16,1E-05,15.04,27.8,0.01,-6.4,-7.01
(2011 YQ1),2113-2113,1,1.4E-06,11.65,25.6,0.026,-6.41,-6.41
(2016 WY),2084-2114,12,0.00011,3.23,29.2,0.005,-6.41,-6.56
(2016 XL23),2080-2098,3,6.1E-05,9.95,29.3,0.005,-6.41,-6.42
(2013 YB),2022-2063,26,7.5E-05,8.95,31.4,0.002,-6.42,-6.79
(2014 OX3),2116-2116,1,1.4E-05,12.79,27.7,0.01,-6.42,-6.42
(2014 CH13),2024-2116,134,1.3E-07,5.1,24.3,0.047,-6.42,-6.8
(2004 RU109),2038-2053,5,8.4E-07,12.93,26.5,0.017,-6.43,-6.77
(2006 GU2),2022-2116,47,1.5E-05,7.31,27.8,0.009,-6.43,-7.22
(2011 UL169),2057-2066,5,1.3E-05,9.35,28.3,0.007,-6.43,-6.48
(2012 UU158),2042-2078,5,2.9E-06,12.27,26.9,0.014,-6.43,-6.48
(2019 KL),2047-2085,6,1E-06,14.2,26.4,0.017,-6.43,-6.64
(2018 LR3),2077-2100,3,3E-06,4.17,26.3,0.019,-6.43,-6.59
(2019 UE4),2064-2119,18,1.1E-05,11.58,27.7,0.01,-6.44,-6.93
(2019 TC2),2097-2119,38,1.7E-05,11.14,27.8,0.009,-6.44,-7.21
(2019 QS),2096-2096,1,2.2E-07,21.59,24.8,0.037,-6.45,-6.45
(2010 VP139),2020-2116,382,1.4E-05,2.65,28.6,0.007,-6.45,-7.52
(2017 WE28),2039-2078,11,2E-06,8.79,26.7,0.015,-6.45,-6.68
(2008 GM2),2090-2117,46,3.8E-05,4.62,28.4,0.007,-6.46,-7
(2019 GK21),2099-2103,2,1.3E-06,9.23,25.6,0.026,-6.46,-6.53
(2017 FW90),2101-2118,5,3.5E-05,4.17,28.1,0.008,-6.46,-6.52
(2008 SH148),2022-2116,159,9.2E-07,9.21,26.1,0.02,-6.48,-7.39
(2009 EW),2075-2081,4,1.7E-06,12.82,26.4,0.018,-6.48,-6.65
(2018 FE3),2090-2118,2,1.1E-05,6.05,27.2,0.012,-6.48,-6.48
(2014 SR223),2063-2063,1,1.5E-06,15.23,26.7,0.015,-6.49,-6.49
(2017 AT20),2039-2116,231,5.3E-06,7.65,27.1,0.013,-6.49,-6.95
(2014 XM7),2115-2115,1,6.2E-08,11.49,22.9,0.09,-6.49,-6.49
(2010 FD),2085-2104,2,1.5E-06,9.79,26,0.021,-6.5,-6.54
(2017 UK3),2115-2115,3,6.1E-06,13.37,27.2,0.012,-6.5,-6.69
(2010 FN),2079-2116,10,3.9E-06,6.79,26.6,0.016,-6.51,-6.97
(2010 NN),2049-2116,45,2.1E-05,7.73,28.4,0.007,-6.51,-6.95
(2012 CU),2040-2100,5,1.2E-06,10.94,26,0.021,-6.51,-6.91
(2013 PG10),2056-2113,8,8.6E-06,6.87,27.7,0.01,-6.51,-6.61
(2015 EG7),2065-2115,12,5.7E-06,12.79,27.4,0.011,-6.51,-6.57
(2020 MP1),2105-2105,2,2.2E-06,7.83,26.1,0.021,-6.51,-6.61
(2008 UA202),2050-2108,72,8.1E-05,2.3,29.4,0.004,-6.52,-7.33
(2009 WW7),2050-2116,23,4.5E-05,8.19,28.9,0.006,-6.52,-6.96
(2015 QS8),2116-2116,1,4.2E-06,8.04,26.5,0.017,-6.52,-6.52
(2012 KP24),2032-2032,1,3.4E-07,12.74,26.4,0.017,-6.52,-6.52
(2008 TS10),2068-2116,21,4.7E-05,3.18,28.8,0.006,-6.53,-7.37
(2010 NH),2089-2092,2,1E-06,10.29,25.7,0.025,-6.53,-6.58
(2011 YC63),2034-2048,4,4.5E-06,18.83,29,0.005,-6.53,-6.54
(2012 EP10),2056-2117,39,7.7E-05,2.79,29.2,0.005,-6.53,-6.76
(2017 QU34),2083-2111,10,1.2E-05,14.49,28.3,0.007,-6.53,-6.76
(2020 SP),2079-2117,14,7.8E-06,3.72,27,0.013,-6.54,-6.89
(2018 LM),2112-2116,3,1.1E-06,4.88,25.2,0.03,-6.54,-6.82
(2018 JL1),2112-2118,4,5.4E-06,6.17,26.7,0.015,-6.54,-6.72
(2018 RF5),2103-2115,3,8.4E-06,8.33,27.4,0.011,-6.54,-6.64
(2020 FA1),2116-2119,4,4.3E-06,2.23,26.3,0.018,-6.55,-6.59
(2009 WQ25),2094-2094,1,9.3E-08,16.94,23.9,0.055,-6.55,-6.55
(2017 RN16),2076-2117,30,5.4E-05,8.13,29.1,0.005,-6.55,-6.69
(2007 SN6),2022-2059,2,1.1E-07,18.32,25,0.033,-6.56,-6.69
(2010 TN55),2086-2117,15,1.8E-06,25.32,27,0.013,-6.57,-7.28
(2009 YR),2060-2087,8,1.1E-05,3.12,28,0.009,-6.58,-6.9
(2018 DN4),2023-2094,9,3.6E-07,19.54,28.2,0.008,-6.58,-6.61
(2005 BS1),2024-2041,3,2.8E-07,12.35,27.3,0.012,-6.59,-6.66
(2017 TB),2054-2117,54,5.1E-05,5.79,29.1,0.005,-6.59,-7.21
(2020 OB),2114-2119,3,4.6E-08,25.62,23.7,0.063,-6.59,-6.66
(2005 GQ33),2023-2110,24,2.8E-08,20.92,23.7,0.063,-6.6,-7.36
(2017 UA45),2099-2112,5,2E-06,5.42,25.9,0.022,-6.6,-6.72
(2016 XP23),2110-2110,1,6.4E-10,24.85,19.8,0.37,-6.61,-6.61
410777 (2009 FD),2190-2190,1,1.5E-08,15.88,22,0.16,-6.61,-6.61
(2019 BO),2055-2095,19,1.2E-05,7.27,28.1,0.008,-6.61,-7.21
(1997 UA11),2073-2073,1,2.9E-07,11.96,25.1,0.032,-6.62,-6.62
(2003 UQ25),2093-2093,1,9.4E-08,18.01,24.2,0.049,-6.62,-6.62
(2015 CL13),2090-2106,4,6.5E-07,13.7,25.7,0.025,-6.62,-7
(2020 UX),2046-2114,35,0.0002,8.44,31.1,0.002,-6.63,-6.84
(2010 XQ),2021-2116,69,2.1E-07,9.79,25.2,0.031,-6.63,-7.31
(2008 OO1),2107-2107,1,2.3E-07,12.96,24.6,0.041,-6.64,-6.64
(2011 AZ36),2026-2116,176,4.1E-07,7.61,25.1,0.032,-6.64,-8.01
(2019 YM),2041-2117,2,8.7E-07,17.76,26,0.022,-6.64,-6.64
(2020 PU3),2096-2120,14,4E-06,9.54,26.8,0.015,-6.64,-6.89
(2015 UH52),2075-2101,2,9.5E-07,11.19,26,0.022,-6.65,-6.94
(2018 QE),2036-2117,13,1.1E-05,4.18,27.8,0.009,-6.65,-7.2
(2008 BC15),2072-2094,2,9.2E-07,20.66,26.6,0.016,-6.66,-6.89
(2010 JH80),2082-2082,1,6.3E-08,26.9,24.5,0.042,-6.66,-6.66
(2013 TV132),2099-2115,6,2.6E-06,9.16,26.5,0.017,-6.66,-7.03
(2019 NF7),2072-2080,2,9.6E-06,9.27,28.1,0.008,-6.66,-6.67
(2015 WP2),2080-2116,22,7.6E-05,12.62,30.1,0.003,-6.66,-7.04
(2020 PU1),2047-2070,3,1.3E-06,7.77,26.5,0.017,-6.66,-7.02
(2019 PG),2115-2115,1,1.1E-06,7.19,25.6,0.026,-6.67,-6.67
(2014 MB6),2052-2075,2,8.1E-07,13.07,26.2,0.019,-6.68,-6.68
(1993 UA),2111-2111,2,7.1E-07,9.4,25.4,0.028,-6.69,-6.85
(1997 TC25),2096-2096,1,2.6E-07,9.89,24.7,0.039,-6.69,-6.69
(2006 BF56),2092-2117,19,2.3E-05,26.15,29.6,0.004,-6.69,-7.2
(2019 PO1),2084-2117,16,1.5E-05,1.96,27.9,0.009,-6.69,-7.19
(2006 WM3),2113-2113,1,5.8E-08,10.41,23.2,0.078,-6.69,-6.69
(2017 RP16),2065-2112,10,3.5E-06,10.33,27.2,0.012,-6.69,-7.07
(2020 PC),2074-2074,1,1.1E-05,1.46,28,0.009,-6.69,-6.69
(2012 BP123),2021-2117,306,1.3E-06,4.85,27.1,0.013,-6.7,-7.31
(2020 OX5),2033-2063,4,1.3E-06,8.88,26.9,0.014,-6.7,-6.9
(2005 UL6),2068-2068,2,1.1E-07,12.04,24.5,0.042,-6.71,-6.91
(2016 CH30),2100-2118,5,1.1E-05,5.46,27.8,0.009,-6.71,-6.76
(2020 CK2),2057-2118,44,5E-05,5.18,29.3,0.005,-6.71,-7.53
(2007 CS5),2096-2110,4,3.1E-07,4.99,24.5,0.042,-6.72,-7.13
(2018 VP6),2088-2088,2,2.8E-06,12.06,27.2,0.013,-6.72,-6.96
(2020 SY4),2061-2113,4,2.9E-06,15.95,27.4,0.011,-6.73,-6.82
(2017 RK2),2083-2083,1,8.6E-06,7.3,28,0.009,-6.74,-6.74
(2013 PS13),2096-2096,1,2.4E-06,17.26,27.3,0.012,-6.74,-6.74
(2019 CM5),2046-2099,6,8E-06,5.4,27.9,0.009,-6.74,-7.35
(2015 GB1),2031-2090,4,9.2E-07,7.35,26.6,0.016,-6.74,-7.16
(2020 TD7),2054-2113,9,2.8E-06,9.11,26.8,0.015,-6.74,-7.21
(2018 LT5),2025-2083,5,1.3E-07,19.04,25,0.034,-6.75,-6.86
(2010 UR7),2079-2086,3,2.8E-06,13.33,27.4,0.011,-6.75,-7.07
(2014 FE),2034-2081,11,1.6E-06,19.91,27.6,0.01,-6.75,-7.32
(2020 GZ1),2040-2040,1,8.2E-08,28.24,26,0.021,-6.75,-6.75
(2007 UT3),2054-2116,8,5.1E-07,9.05,25.7,0.024,-6.76,-7.12
(2019 NX5),2067-2115,15,3.4E-05,1.79,29.1,0.005,-6.76,-6.86
(2016 FZ13),2108-2117,6,2E-05,4.3,28.3,0.007,-6.76,-7.12
(2017 HJ),2070-2117,20,3.4E-06,14.83,27.5,0.011,-6.76,-7.55
(2017 UK52),2021-2117,235,5.3E-07,13.89,26.9,0.015,-6.76,-7.34
(2018 RQ4),2088-2111,10,3.3E-06,6.77,26.9,0.014,-6.76,-7.13
(2018 AU18),2046-2114,12,2.4E-06,9.6,27.4,0.011,-6.77,-6.92
(2016 EV84),2056-2096,4,1.9E-06,7.41,26.8,0.015,-6.77,-6.87
(2018 WJ),2045-2072,4,1.2E-06,19.01,27.6,0.01,-6.78,-7.14
(2004 DA53),2111-2112,3,9E-06,9.35,27.9,0.009,-6.79,-6.86
(2013 NE24),2059-2112,9,3.4E-06,10.73,27.4,0.011,-6.79,-7.15
(2019 VH),2065-2109,17,5.4E-06,8.22,27.7,0.01,-6.79,-7.3
(2019 VD),2087-2105,9,4E-06,11.19,27.4,0.011,-6.79,-7.34
(2020 BH3),2059-2104,6,1.1E-06,7.12,26.1,0.021,-6.79,-7.24
(2014 HY198),2041-2116,240,4.4E-05,6.53,29.6,0.004,-6.8,-7.36
(2014 TL),2072-2114,8,6.3E-06,10.72,27.8,0.009,-6.8,-6.98
(2016 PR66),2026-2113,23,1.2E-08,10.32,23.3,0.075,-6.8,-7.24
(2002 XV90),2101-2114,7,4.8E-07,7.63,25.2,0.031,-6.81,-7.06
(2020 TK3),2063-2114,8,3.9E-06,11.22,27.4,0.011,-6.81,-7.36
(2007 EZ25),2087-2087,2,2.1E-07,20.74,25.6,0.026,-6.82,-7.07
(2010 RM80),2085-2116,21,1.1E-05,5.36,27.9,0.009,-6.82,-7.32
(2018 BC),2083-2109,22,5.4E-05,2.04,29.4,0.004,-6.82,-7.7
(2020 CF2),2072-2116,12,7.9E-06,3.18,27.6,0.01,-6.82,-7.2
(2020 PJ6),2076-2101,6,6.2E-07,2.26,25.6,0.026,-6.82,-7
(2009 ST171),2066-2066,1,1.2E-06,9.83,26.8,0.015,-6.83,-6.83
(2006 QK33),2116-2116,1,5.7E-08,12.46,23.6,0.065,-6.83,-6.83
(2019 FU1),2090-2109,5,1.6E-06,19.8,27.3,0.012,-6.83,-6.97
(2020 HW7),2044-2090,5,1.3E-06,8.75,27.2,0.012,-6.83,-6.91
(2008 XK),2020-2101,87,4.1E-07,12.04,27.2,0.012,-6.84,-7.12
(2011 YC40),2028-2050,7,5.7E-06,10.92,29.7,0.004,-6.84,-6.89
(2015 XP),2067-2067,1,4.1E-07,8.23,25.8,0.024,-6.84,-6.84
(2016 VA18),2022-2116,500,2.5E-06,8.67,28.5,0.007,-6.85,-7.27
(2017 DB120),2053-2103,7,1.2E-08,14.59,23,0.086,-6.86,-7.09
(2015 BY3),2033-2085,10,1E-06,16.59,27.5,0.011,-6.86,-7.32
(2019 GP21),2039-2119,98,3.5E-05,10.8,29.7,0.004,-6.86,-7.58
(2020 SN6),2048-2118,80,1.6E-05,5.52,28.8,0.006,-6.86,-7.83
(2017 UM52),2039-2117,146,2.7E-05,2.45,29.5,0.004,-6.86,-7.53
(2020 QC),2038-2041,2,5.6E-07,18.75,27.5,0.011,-6.86,-6.98
(2011 CF22),2030-2117,168,5.1E-05,18.8,30.9,0.002,-6.87,-7.63
(2014 LJ),2055-2116,40,1.5E-05,3.61,28.5,0.007,-6.87,-7.79
(2015 FF36),2059-2077,7,9.5E-07,8.85,26.5,0.017,-6.87,-7.13
(2006 UC64),2069-2085,4,8.7E-08,20.09,25,0.034,-6.87,-7.18
(2018 BP6),2074-2074,1,7.3E-08,14.22,24.6,0.042,-6.88,-6.88
(2016 JN38),2039-2116,101,6.5E-06,19.52,29.1,0.005,-6.88,-7.77
(2016 JB29),2090-2090,1,1.7E-07,8.56,24.7,0.039,-6.88,-6.88
(2016 SU2),2102-2115,12,4.4E-06,12.73,27.7,0.01,-6.88,-7.26
(2017 HZ4),2091-2106,2,8.2E-07,5.91,25.9,0.023,-6.88,-7.16
(2020 DG4),2093-2120,15,1E-05,6.89,28.2,0.008,-6.88,-7.37
(2020 GY2),2093-2093,1,3.3E-08,15.69,23.6,0.064,-6.88,-6.88
(2006 UQ216),2061-2116,7,4.3E-06,3.73,27.3,0.012,-6.89,-7.17
(2017 BG92),2072-2118,6,1.3E-05,5.33,28.7,0.006,-6.89,-6.98
(2007 EN88),2094-2104,3,1E-06,12.16,26.4,0.017,-6.9,-7.06
(2013 UR1),2050-2060,4,8.5E-07,21.69,27.8,0.009,-6.91,-6.97
(2019 QE7),2097-2119,8,1.7E-06,10.17,26.7,0.015,-6.91,-7.29
(2013 QM48),2071-2116,19,3.8E-06,7.47,27.4,0.011,-6.92,-7.62
(2014 CE),2111-2117,4,2E-06,13.02,27,0.013,-6.92,-7.09
(2019 DG1),2118-2118,1,2.1E-06,7.29,26.7,0.016,-6.92,-6.92
(2015 VP64),2087-2087,2,3.5E-06,20.96,28.3,0.007,-6.92,-6.92
(2014 QN266),2078-2078,1,9E-07,2.85,26.2,0.019,-6.93,-6.93
(2008 WO2),2065-2111,9,4.9E-05,6.11,29.8,0.004,-6.94,-7.3
(2018 FY2),2046-2102,4,1.8E-07,19.37,25.7,0.024,-6.94,-7.22
(2012 CR),2025-2025,1,1.2E-10,14.18,21,0.21,-6.95,-6.95
(2017 QT1),2050-2069,3,3.1E-07,20.02,26.8,0.015,-6.95,-7.03
(2018 PU23),2072-2097,4,8E-06,1.77,28.1,0.008,-6.96,-7.36
(2013 BR15),2100-2110,3,1.6E-07,14.08,25.1,0.032,-6.97,-7.11
(2015 VK1),2103-2109,2,7.7E-07,14.73,26.5,0.017,-6.97,-7.13
(2012 BW13),2086-2111,8,2E-06,11.68,27.2,0.012,-6.98,-7.35
(2010 WW8),2020-2112,82,1.4E-07,5.23,26.4,0.018,-6.99,-7.43
(2014 HD198),2025-2115,78,6.7E-06,17.34,29.6,0.004,-7,-7.45
(2013 RR43),2050-2057,2,6E-08,18.99,25.4,0.028,-7,-7.08
(2019 NK1),2089-2118,49,6.3E-05,8.05,30.1,0.003,-7.01,-7.46
(2018 FQ3),2070-2114,14,9.6E-06,10.84,28.6,0.006,-7.01,-7.53
(2020 QN4),2065-2117,24,1.1E-05,7.53,28.6,0.006,-7.01,-7.8
(2000 SZ162),2070-2109,6,1.9E-06,4.16,27.1,0.013,-7.02,-7.37
(2020 QN1),2119-2119,1,3.3E-08,7.46,23.1,0.08,-7.02,-7.02
(2017 KQ27),2117-2117,1,4.7E-07,10.96,25.8,0.023,-7.03,-7.03
(2006 HE2),2081-2103,3,1.1E-06,5.03,26.5,0.017,-7.04,-7.29
(2016 TT),2084-2095,4,4E-07,11.56,26,0.021,-7.04,-7.41
(2006 YE),2082-2095,4,2.4E-06,6.01,27.3,0.012,-7.05,-7.33
(2017 RJ2),2108-2111,7,1.9E-06,15.86,27.5,0.011,-7.05,-7.36
(2019 WU),2058-2112,10,1.6E-06,10.08,27,0.013,-7.05,-7.58
(2017 VV12),2062-2116,10,4.4E-06,6.29,28,0.009,-7.05,-7.31
(2005 VP),2053-2103,20,1E-07,12.83,25.5,0.027,-7.06,-7.52
(2018 VC7),2068-2117,25,3.2E-06,4.23,27.4,0.011,-7.06,-7.82
(2020 SN5),2043-2109,6,1.4E-06,13.28,28.2,0.008,-7.06,-7.08
(2017 SS12),2074-2089,5,1.4E-06,10.09,27.1,0.013,-7.06,-7.41
(2008 HC38),2029-2029,1,4.4E-08,14.05,26.1,0.02,-7.07,-7.07
(2003 YS70),2107-2116,2,1.7E-05,3.16,28.8,0.006,-7.09,-7.24
(2016 WT),2072-2119,34,3.1E-05,10.71,29.8,0.004,-7.09,-7.9
(2014 HR197),2020-2112,191,7.5E-08,16.97,26.9,0.014,-7.09,-8.01
(2013 XU21),2055-2055,1,2.3E-07,11.04,26.2,0.02,-7.09,-7.09
(2016 GU2),2113-2113,1,1.2E-08,39.17,24.1,0.052,-7.09,-7.09
(2020 DN3),2107-2119,7,9.8E-07,13.9,26.8,0.015,-7.09,-7.63
(2005 UA1),2036-2036,1,9.1E-08,14.68,26.4,0.018,-7.1,-7.1
(2016 WU),2089-2109,3,2.6E-06,7.05,27.3,0.012,-7.1,-7.1
(2015 YM1),2096-2115,5,6.9E-06,6.81,28.4,0.007,-7.12,-7.22
(2014 HE199),2039-2039,1,2.4E-08,14.5,25,0.033,-7.14,-7.14
(2018 PA25),2029-2118,15,2.6E-08,15.29,24.9,0.036,-7.14,-7.33
(2016 AU193),2109-2109,1,9.4E-08,21.77,25.3,0.03,-7.14,-7.14
(2018 EV3),2081-2113,4,9.4E-07,12.58,27.1,0.013,-7.14,-7.26
(2019 SG1),2064-2064,1,8.6E-07,16.72,27.7,0.01,-7.14,-7.14
(2008 US),2021-2069,24,3.1E-06,18.54,31.4,0.002,-7.15,-7.37
(2020 TS1),2110-2120,9,2.1E-05,3.52,29.1,0.005,-7.15,-7.8
(2008 UA92),2078-2078,1,1.3E-06,8.38,27.3,0.012,-7.16,-7.16
(2006 UJ185),2052-2116,8,2.1E-06,15.45,27.9,0.009,-7.16,-7.52
(2016 TQ54),2096-2113,7,1.7E-06,9,27.3,0.012,-7.16,-7.67
(2018 WH1),2076-2111,13,9.9E-06,4.01,28.5,0.007,-7.17,-7.74
(2010 CK19),2089-2116,7,4.4E-06,5.01,27.9,0.009,-7.17,-7.73
(2011 FA23),2025-2102,6,3.6E-06,14.34,28.9,0.006,-7.17,-7.34
(2019 KT),2110-2110,3,6.8E-07,11.7,26.6,0.017,-7.17,-7.46
(2010 VN1),2050-2066,5,1.9E-06,10.98,28.3,0.007,-7.2,-7.42
(2012 SU9),2084-2111,6,1.4E-06,10.85,27.2,0.012,-7.2,-7.38
(2018 TS6),2064-2117,19,5.2E-06,7.41,28.2,0.008,-7.2,-7.4
(2019 FB1),2113-2117,2,3.2E-06,7.97,27.7,0.01,-7.2,-7.37
(2011 SE58),2042-2055,3,5.8E-07,15.69,27.6,0.01,-7.21,-7.35
(2018 GG4),2058-2070,2,1.4E-07,16.68,26.2,0.019,-7.21,-7.43
(2019 QU3),2113-2117,2,1.1E-05,6.47,28.7,0.006,-7.21,-7.21
(2014 KC45),2066-2110,20,1.2E-05,8.91,29.4,0.004,-7.22,-7.68
(2019 VE4),2072-2119,6,3E-06,8.82,27.9,0.009,-7.22,-7.46
(2016 EG28),2079-2108,6,1.8E-06,14.66,27.8,0.009,-7.22,-7.45
(2018 FK5),2087-2110,2,3.7E-06,11.28,28.3,0.007,-7.22,-7.5
(2017 FC1),2064-2064,1,2.3E-07,8.28,26.1,0.02,-7.23,-7.23
(2017 RX17),2029-2116,43,3.3E-07,7.54,26.9,0.014,-7.23,-7.92
(2006 DO62),2036-2095,13,1.8E-06,11.3,28.3,0.008,-7.24,-7.66
(2008 YD3),2021-2110,30,1.1E-07,7.96,26,0.021,-7.24,-7.67
(2014 HJ197),2045-2117,32,2.4E-05,4.48,30.3,0.003,-7.24,-7.75
(2017 KC36),2037-2061,3,6.5E-07,11.93,27.4,0.011,-7.24,-7.29
(2004 XG29),2112-2114,2,2.5E-07,5.1,25.4,0.029,-7.25,-7.38
(2016 TC57),2112-2112,1,1.2E-06,8.74,27.1,0.013,-7.26,-7.26
(2002 EM7),2117-2117,2,6.1E-08,10.28,24.4,0.045,-7.26,-7.27
(2019 BX1),2058-2115,3,3.1E-06,3.96,28.1,0.008,-7.27,-7.53
(2018 WA1),2082-2117,24,4.1E-05,3.05,30,0.003,-7.27,-7.91
(2017 BK30),2085-2085,2,9E-07,9.95,27.2,0.012,-7.28,-7.53
(2015 HO182),2046-2113,6,2.6E-07,10.92,26.4,0.018,-7.28,-7.6
(2016 BQ15),2072-2098,2,4.1E-08,21.04,25.1,0.032,-7.28,-7.46
(2018 WA3),2055-2060,2,6.4E-07,16.37,27.9,0.009,-7.28,-7.29
(2020 PX5),2086-2118,13,1.8E-05,10.06,29.6,0.004,-7.29,-7.6
(2008 BN16),2083-2083,1,1.1E-07,18.62,25.9,0.022,-7.3,-7.3
(2016 LE10),2035-2072,3,4E-07,12.63,27.1,0.013,-7.31,-7.53
(2018 DB),2068-2119,3,1.2E-06,16.13,27.6,0.01,-7.31,-7.37
(2001 YN2),2020-2020,1,5.7E-10,18.49,24.9,0.035,-7.32,-7.32
(2012 TU231),2111-2111,1,3.8E-07,9.97,26.2,0.02,-7.32,-7.32
(2014 WE6),2104-2109,5,4.7E-05,4.42,30.3,0.003,-7.32,-7.61
(2016 WN7),2095-2095,1,2.6E-06,6.16,27.9,0.009,-7.32,-7.32
(2017 TT3),2059-2108,2,1.3E-07,8.67,25.6,0.025,-7.32,-7.52
(2008 KT),2091-2116,9,5.3E-06,2.99,28.2,0.008,-7.33,-7.51
(2010 XP),2021-2116,73,1.4E-07,8.25,26.8,0.015,-7.34,-7.76
(2011 UD21),2116-2116,1,7.4E-06,1.32,28.5,0.007,-7.34,-7.34
(2016 VZ17),2021-2116,179,4.1E-07,9.72,27.4,0.011,-7.34,-8.26
(2019 AK12),2113-2119,3,1.1E-06,15.17,27.5,0.011,-7.34,-7.69
(2010 XC),2021-2111,324,2.9E-06,3.93,29.1,0.005,-7.35,-8.24
(2016 TH),2072-2115,26,9.3E-06,7.41,29.4,0.004,-7.36,-7.56
